"ano","mes","cidade","quantidade.secretario"
"2008","07","Patos",1
"2009","12","Santa Rita",60
"2009","10","Santa Rita",43
"2009","11","Santa Rita",43
"2009","06","Santa Rita",41
"2009","09","Santa Rita",41
"2009","01","Santa Rita",37
"2009","02","Santa Rita",37
"2009","04","Santa Rita",37
"2009","05","Santa Rita",37
"2009","07","Santa Rita",37
"2009","08","Santa Rita",37
"2009","03","Santa Rita",36
"2009","01","Cajazeiras",25
"2009","02","Cajazeiras",25
"2009","03","Cajazeiras",23
"2009","04","Cajazeiras",23
"2009","05","Cajazeiras",21
"2009","06","Cajazeiras",21
"2009","10","Cajazeiras",21
"2009","11","Cajazeiras",21
"2009","12","Cajazeiras",21
"2009","09","Cajazeiras",20
"2009","08","Cajazeiras",18
"2009","07","Cajazeiras",17
"2009","01","Bayeux",11
"2009","02","Bayeux",11
"2009","03","Bayeux",11
"2009","04","Bayeux",11
"2009","05","Bayeux",11
"2009","06","Bayeux",11
"2009","07","Bayeux",11
"2009","09","Bayeux",11
"2009","10","Bayeux",11
"2009","12","Bayeux",11
"2009","08","Bayeux",10
"2009","11","Bayeux",10
"2009","01","Pitimbu",8
"2009","08","Pitimbu",7
"2009","01","Frei Martinho",6
"2009","02","Boqueirão",6
"2009","02","Frei Martinho",6
"2009","03","Boqueirão",6
"2009","03","Frei Martinho",6
"2009","04","Boqueirão",6
"2009","04","Frei Martinho",6
"2009","05","Boqueirão",6
"2009","05","Frei Martinho",6
"2009","06","Boqueirão",6
"2009","06","Frei Martinho",6
"2009","07","Boqueirão",6
"2009","07","Frei Martinho",6
"2009","08","Boqueirão",6
"2009","08","Frei Martinho",6
"2009","09","Boqueirão",6
"2009","09","Frei Martinho",6
"2009","10","Boqueirão",6
"2009","10","Frei Martinho",6
"2009","11","Boqueirão",6
"2009","11","Frei Martinho",6
"2009","12","Boqueirão",6
"2009","12","Frei Martinho",6
"2009","01","Boqueirão",5
"2009","01","Olivedos",5
"2009","01","São Vicente do Seridó",5
"2009","02","Olivedos",5
"2009","02","Pitimbu",5
"2009","02","São Vicente do Seridó",5
"2009","03","Olivedos",5
"2009","03","Pitimbu",5
"2009","03","São Vicente do Seridó",5
"2009","04","Olivedos",5
"2009","04","Pitimbu",5
"2009","04","São Vicente do Seridó",5
"2009","05","Olivedos",5
"2009","05","Pitimbu",5
"2009","05","São Vicente do Seridó",5
"2009","06","Olivedos",5
"2009","06","Pitimbu",5
